ENTITY ID
ALLAY 0
AREA_EFFECT_CLOUD 1
ARMADILLO 2
ARMOR_STAND 3
ARROW 4
AXOLOTL 5
BAT 6
BEE 7
BLAZE 8
BLOCK_DISPLAY 9
BOAT 10
BOGGED 11
BREEZE 12
BREEZE_WIND_CHARGE 13
CAMEL 14
CAT 15
CAVE_SPIDER 16
CHEST_BOAT 17
CHEST_MINECART 18
CHICKEN 19
COD 20
COMMAND_BLOCK_MINECART 21
COW 22
CREEPER 23
DOLPHIN 24
DONKEY 25
DRAGON_FIREBALL 26
DROWNED 27
EGG 28
ELDER_GUARDIAN 29
END_CRYSTAL 30
ENDER_DRAGON 31
ENDER_PEARL 32
ENDERMAN 33
ENDERMITE 34
EVOKER 35
EVOKER_FANGS 36
EXPERIENCE_BOTTLE 37
EXPERIENCE_ORB 38
EYE_OF_ENDER 39
FALLING_BLOCK 40
FIREWORK_ROCKET 41
FOX 42
FROG 43
FURNACE_MINECART 44
GHAST 45
GIANT 46
GLOW_ITEM_FRAME 47
GLOW_SQUID 48
GOAT 49
GUARDIAN 50
HOGLIN 51
HOPPER_MINECART 52
HORSE 53
HUSK 54
ILLUSIONER 55
INTERACTION 56
IRON_GOLEM 57
ITEM 58
ITEM_DISPLAY 59
ITEM_FRAME 60
OMINOUS_ITEM_SPAWNER 61
FIREBALL 62
LEASH_KNOT 63
LIGHTNING_BOLT 64
LLAMA 65
LLAMA_SPIT 66
MAGMA_CUBE 67
MARKER 68
MINECART 69
MOOSHROOM 70
MULE 71
OCELOT 72
PAINTING 73
PANDA 74
PARROT 75
PHANTOM 76
PIG 77
PIGLIN 78
PIGLIN_BRUTE 79
PILLAGER 80
POLAR_BEAR 81
POTION 82
PUFFERFISH 83
RABBIT 84
RAVAGER 85
SALMON 86
SHEEP 87
SHULKER 88
SHULKER_BULLET 89
SILVERFISH 90
SKELETON 91
SKELETON_HORSE 92
SLIME 93
SMALL_FIREBALL 94
SNIFFER 95
SNOW_GOLEM 96
SNOWBALL 97
SPAWNER_MINECART 98
SPECTRAL_ARROW 99
SPIDER 100
SQUID 101
STRAY 102
STRIDER 103
TADPOLE 104
TEXT_DISPLAY 105
TNT 106
TNT_MINECART 107
TRADER_LLAMA 108
TRIDENT 109
TROPICAL_FISH 110
TURTLE 111
VEX 112
VILLAGER 113
VINDICATOR 114
WANDERING_TRADER 115
WARDEN 116
WIND_CHARGE 117
WITCH 118
WITHER 119
WITHER_SKELETON 120
WITHER_SKULL 121
WOLF 122
ZOGLIN 123
ZOMBIE 124
ZOMBIE_HORSE 125
ZOMBIE_VILLAGER 126
ZOMBIFIED_PIGLIN 127
PLAYER 128
FISHING_BOBBER 129
